channel_title,message_id,date,text,media_path
SINA KIDS/ሲና ኪድስⓇ,14845,2024-09-28 17:48:50+00:00,ክቡራን ደምበኞቻችን እሁድ ገርጂ እና ብስራተ ገብሬል የሚገኘው ሱቃችን ከጠዋት 4 ሰሀት ጀምሮ ክፍት መሆኑን ስንገልፅ በታላቅ አክብሮት ነው 🙏,media\@sinayelj_14845.jpg
SINA KIDS/ሲና ኪድስⓇ,14844,2024-09-27 08:02:52+00:00,ክቡራን ደምበኞቻችን ዛሬ ገርጂ እና ብስራተ ገብሬል የሚገኘው ሱቃችን ሙሉ ቀን ክፍት መሆኑን ስንገልፅ በታላቅ አክብሮት ነው 🙏,media\@sinayelj_14844.jpg
SINA KIDS/ሲና ኪድስⓇ,14843,2024-09-27 07:38:57+00:00,ለመላው የክርስትና እምነት ተከታዮች በሙሉ እንኳን ለመስቀል ደመራ በዓል በሰላም አደረሳችሁ እያልን፤በዓሉ የሰላምና የጤና እንዲሆንላቹ  ምኞታችንን እንገልፃለን    SINA KIDS/ሲና ኪድስⓇ,media\@sinayelj_14843.jpg
SINA KIDS/ሲና ኪድስⓇ,14841,2024-09-26 12:24:51+00:00,,media\@sinayelj_14841.jpg
SINA KIDS/ሲና ኪድስⓇ,14840,2024-09-26 12:24:51+00:00,,media\@sinayelj_14840.jpg
SINA KIDS/ሲና ኪድስⓇ,14839,2024-09-26 12:24:51+00:00,"ለኮንዶሚኒየም ለጠባብ ቤቶች ገላግሌ የሆነ ከንፁህ የሲልከን ጥሬ እቃ የተሰራ የልጆች ማጠቢያ  ምስሉ ላይ እንደሚያዩት መታጠፍ መዘርጋት የሚችል   3350ብር   ይደውሉልን እርሶ መምጣት ባይመቾ እኛ ያሉበት ድረስ እናደርስሎታለን ስልክ 0905707448 0909003864 ሲና የተመረጡና ጥራታቸውን የጠበቁ የልጆች እቃ አስመጪ 


0909003864
0905707448  

እቃ ለማዘዝ ከስር ያለውን ሊንኮች በመጫን ማዘዝ ትችላላቹ  

@sinasinaye

@sinayalj2

አድራሻ

 1️⃣ቁጥር1 ገርጂ ኢምፔሪያል ከሳሚ ህንፃ ጎን አልፎዝ ፕላዛ ግራውንድ ላይ እንደገቡ ያገኙናል

2️⃣ቁጥር2 4ኪሎ ቅድስት ስላሴ ህንፃ ማለትም ከብልፅግና ዋናፅፈት ቤት ህንፃ በስተ ቀኝ ባለው አስፓልት 20ሜትር ዝቅ እንዳሉ ሀበሻ ኮፊ የሚገኝበት ቀይ ሸክላ ህንፃ 2ተኛ ፎቅ ላይ ያገኙናል

3️⃣ቁጥር3 ብስራተ ገብርኤል ላፍቶ ሞል መግቢያው ፊት ለፊት የሚገኘው የብስራተ ገብርኤል ቤተ ክርስቲያን ህንፃ አንደኛ ፎቅ ላይ ደረጃ እንደወጣቹ በስተግራ በኩል ሱቅ ቁጥር FF-09

ክቡራን ደምበኞቻችን ገርጂ አልፎዝ ፕላዛ ላይ አራት ኪሎ ቅድስት ስላሴ እንዲሁም ብስራተ ገብሬል ያሉት ሱቆቻችን ሲመጡ  አስተማማኝ ሰፊ ፓርኪንግ ያላቸው መሆናቸውን በታላቅ ደስታ እናበስራለን🙏🙏🙏",media\@sinayelj_14839.jpg
SINA KIDS/ሲና ኪድስⓇ,14838,2024-09-26 12:24:12+00:00,,media\@sinayelj_14838.jpg
SINA KIDS/ሲና ኪድስⓇ,14837,2024-09-26 12:24:12+00:00,,media\@sinayelj_14837.jpg
SINA KIDS/ሲና ኪድስⓇ,14836,2024-09-26 12:24:11+00:00,,media\@sinayelj_14836.jpg
SINA KIDS/ሲና ኪድስⓇ,14835,2024-09-26 12:24:11+00:00,"Baby romper   ከላዩ ፈር ውስጡ ኮተን የሆነ

2000 birr

Free delivery 

0909003864
0905707448  

እቃ ለማዘዝ ከስር ያለውን ሊንኮች በመጫን ማዘዝ ትችላላቹ  

@sinasinaye

@sinayalj2

አድራሻ

 1️⃣ቁጥር1 ገርጂ ኢምፔሪያል ከሳሚ ህንፃ ጎን አልፎዝ ፕላዛ ግራውንድ ላይ እንደገቡ ያገኙናል

2️⃣ቁጥር2 4ኪሎ ቅድስት ስላሴ ህንፃ ማለትም ከብልፅግና ዋናፅፈት ቤት ህንፃ በስተ ቀኝ ባለው አስፓልት 20ሜትር ዝቅ እንዳሉ ሀበሻ ኮፊ የሚገኝበት ቀይ ሸክላ ህንፃ 2ተኛ ፎቅ ላይ ያገኙናል

3️⃣ቁጥር3 ብስራተ ገብርኤል ላፍቶ ሞል መግቢያው ፊት ለፊት የሚገኘው የብስራተ ገብርኤል ቤተ ክርስቲያን ህንፃ አንደኛ ፎቅ ላይ ደረጃ እንደወጣቹ በስተግራ በኩል ሱቅ ቁጥር FF-09

ክቡራን ደምበኞቻችን ገርጂ አልፎዝ ፕላዛ ላይ እንዲሁም አራት ኪሎ ቅድስት ስላሴ in ህንፃ ላይ ያሉት ብራንቾቻችን ላይ እቃ ለመግዛት ሲመጡ አስተማማኝ ሰፊ ፓርኪንግ ያለው ጊቢ ያላቸው ህንፃዎች መሆናቸውን በታላቅ ደስታ እናበስራለን🙏🙏🙏",media\@sinayelj_14835.jpg
SINA KIDS/ሲና ኪድስⓇ,14834,2024-09-26 12:20:22+00:00,,media\@sinayelj_14834.jpg
SINA KIDS/ሲና ኪድስⓇ,14833,2024-09-26 12:20:22+00:00,,media\@sinayelj_14833.jpg
SINA KIDS/ሲና ኪድስⓇ,14832,2024-09-26 12:20:22+00:00,"Chicco 5 in 1 mama bag
ኦሪጅናል ማቴሪያል
በሳይዙ ትልቅ
 3200 ብር
Free delivery 

0909003864
0905707448  

ሊንኩን በመጫን ቴሌግራማችንን ይቀላቀሉ[https://t.me/sinayelj](https://t.me/sinayelj)

እቃ ለማዘዝ ከስር ያለውን ሊንኮች በመጫን ማዘዝ ትችላላቹ  

@sinasinaye

[https://t.me/sinayelj2](https://t.me/sinayelj2)

አድራሻ

 1️⃣ቁጥር1 ገርጂ ኢምፔሪያል ከሳሚ ህንፃ ጎን አልፎዝ ፕላዛ ግራውንድ ላይ እንደገቡ ያገኙናል

2️⃣ቁጥር2 4ኪሎ ቅድስት ስላሴ ህንፃ ማለትም ከብልፅግና ዋናፅፈት ቤት ህንፃ በስተ ቀኝ ባለው አስፓልት 20ሜትር ዝቅ እንዳሉ ሀበሻ ኮፊ የሚገኝበት ቀይ ሸክላ ህንፃ 2ተኛ ፎቅ ላይ ያገኙናል

3️⃣ቁጥር3 ብስራተ ገብርኤል ላፍቶ ሞል መግቢያው ፊት ለፊት የሚገኘው የብስራተ ገብርኤል ቤተ ክርስቲያን ህንፃ አንደኛ ፎቅ ላይ ደረጃ እንደወጣቹ በስተግራ በኩል ሱቅ ቁጥር FF-09

ክቡራን ደምበኞቻችን ገርጂ አልፎዝ ፕላዛ ላይ አራት ኪሎ ቅድስት ስላሴ እንዲሁም ብስራተ ገብሬል ያሉት ሱቆቻችን ሲመጡ  አስተማማኝ ሰፊ ፓርኪንግ ያላቸው መሆናቸውን በታላቅ ደስታ እናበስራለን🙏🙏🙏",media\@sinayelj_14832.jpg
SINA KIDS/ሲና ኪድስⓇ,14831,2024-09-26 12:19:21+00:00,,media\@sinayelj_14831.jpg
SINA KIDS/ሲና ኪድስⓇ,14830,2024-09-26 12:19:20+00:00,,media\@sinayelj_14830.jpg
SINA KIDS/ሲና ኪድስⓇ,14829,2024-09-26 12:19:20+00:00,,media\@sinayelj_14829.jpg
SINA KIDS/ሲና ኪድስⓇ,14828,2024-09-26 12:19:20+00:00,,media\@sinayelj_14828.jpg
SINA KIDS/ሲና ኪድስⓇ,14827,2024-09-26 12:19:20+00:00,,media\@sinayelj_14827.jpg
SINA KIDS/ሲና ኪድስⓇ,14826,2024-09-26 12:19:20+00:00,,media\@sinayelj_14826.jpg
